,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,worldwideBoxOffice
2030,4238,tt5208252,Operation Finale,2018,"Biography,Drama,History",Chris Weitz,6.6,51157,0.1195864644733035,
2031,11188,tt7256866,Father of the Year,2018,Comedy,Tyler Spindel,5.2,13113,0.0241511840404548,
2032,7108,tt4951982,The Command,2018,"Action,Adventure,Drama",Thomas Vinterberg,6.6,22634,0.0529100619052867,
2033,4082,tt6212478,American Animals,2018,"Biography,Crime,Drama",Bart Layton,7.0,51045,0.1265564461194577,
2034,4990,tt7280898,22 July,2018,"Biography,Crime,Drama",Paul Greengrass,6.8,39097,0.0941641021024602,
2035,3796,tt6217306,Apostle,2018,"Drama,Fantasy,Horror",Gareth Evans,6.3,62656,0.1398093568274007,
2036,4986,tt6781982,Night School,2018,Comedy,Malcolm D. Lee,5.6,47529,0.0942713500262389,103105878
2037,562,tt3606756,Incredibles 2,2018,"Action,Adventure,Animation",,7.5,350450,0.930937125699256,1242805359
2038,7727,tt8119752,Gonjiam: Haunted Asylum,2018,"Horror,Mystery",Jung Bum-shik,6.5,20109,0.0462952947332329,
2039,10967,tt6929642,Kaala,2018,"Action,Crime,Drama",Pa. Ranjith,6.5,10861,0.0250043859017178,
2040,8948,tt6386748,Birds of Passage,2018,"Crime,Drama","Cristina Gallego,Ciro Guerra",7.5,13539,0.0359650670419238,
2041,8190,tt7959216,Utoya: July 22,2018,"Drama,Thriller",Erik Poppe,7.2,16462,0.0419805492501946,
2042,908,tt2704998,Game Night,2018,"Action,Adventure,Comedy","None,Jonathan Goldstein",6.9,264958,0.6475288909543205,117679066
2043,9245,tt7334528,Uncle Drew,2018,"Comedy,Drama,Sport",Charles Stone III,5.8,16548,0.0339943333143913,46664414
2044,10624,tt4481066,Giant Little Ones,2018,Drama,Keith Behrman,7.2,10380,0.0264705443577341,
2045,13441,tt7638344,Dhadak,2018,"Drama,Romance",Shashank Khaitan,4.6,10839,0.0176595678033345,
2046,12311,tt5952138,We Have Always Lived in the Castle,2018,"Drama,Horror,Mystery",Stacie Passon,5.6,10333,0.0204949790616492,
2047,3183,tt1137450,Death Wish,2018,"Action,Crime,Drama",Eli Roth,6.3,79199,0.1767230792162491,49562710
2048,7408,tt7738450,Thunder Road,2018,"Comedy,Drama",Jim Cummings,7.0,20099,0.0498316781380151,
2049,12113,tt6859762,The Little Stranger,2018,"Drama,Horror,Mystery",Lenny Abrahamson,5.5,10818,0.0210737919977096,
2050,11286,tt7262882,Master Z: The Ip Man Legacy,2018,"Action,Biography,Crime",Yuen Woo-Ping,6.5,10322,0.0237634905881163,
2051,4332,tt5774450,Summer of 84,2018,"Horror,Mystery,Thriller","François Simard,Anouk Whissell,Yoann-Karl Whissell",6.7,48864,0.1159569652192433,
2052,7858,tt7212726,Simmba,2018,"Action,Crime,Drama",Rohit Shetty,5.5,23079,0.0449585917466389,51329025
2053,6961,tt7715202,Sarkar,2018,"Action,Drama",A.R. Murugadoss,6.7,23074,0.0547558737612315,
2054,10075,tt6129302,Bhavesh Joshi Superhero,2018,"Action,Drama",Vikramaditya Motwane,7.6,10818,0.0291201489422896,
2055,14366,tt4575328,2036 Origin Unknown,2018,"Action,Sci-Fi,Thriller",Hasraf Dulull,4.3,10328,0.0157296010375818,
2056,2983,tt4560436,Mile 22,2018,"Action,Thriller",,6.1,90021,0.1944942160287986,66308758
2057,9825,tt7476236,Minding the Gap,2018,"Documentary,Sport",Bing Liu,8.0,10801,0.0306046188833105,
2058,2950,tt8239946,Tumbbad,2018,"Drama,Fantasy,Horror","Rahi Anil Barve,Anand Gandhi,Adesh Prasad",8.2,67984,0.1974483862991443,
2059,1779,tt5164432,"Love, Simon",2018,"Comedy,Drama,Romance",Greg Berlanti,7.5,130425,0.3464616196870466,66316289
2060,10560,tt3920820,Brian Banks,2018,"Biography,Drama,Sport",Tom Shadyac,7.2,10472,0.0267051580456832,
2061,6680,tt5536610,Private Life,2018,"Comedy,Drama",Tamara Jenkins,7.2,23019,0.0587018748141313,
2062,5319,tt7236034,I Want to Eat Your Pancreas,2018,"Animation,Drama,Family","Jun'ichi Fujise,Tomoyuki Itamura,Masaharu Tomoda,Shin'ichirô Ushijima,Daisuke Yoshida,Fumihiro Yoshimura",8.1,29670,0.0851207786590289,
2063,7027,tt7424200,Teen Titans GO! To the Movies,2018,"Action,Adventure,Animation","Aaron Horvath,Peter Rida Michail",6.7,22723,0.0539229314152927,52390236
2064,9606,tt6704776,The Photographer of Mauthausen,2018,"Biography,Drama,History",Mar Targarona,6.8,13283,0.0319917581458162,
2065,6623,tt5607096,"Juliet, Naked",2018,"Comedy,Drama,Music",Jesse Peretz,6.6,25480,0.059562975052872,
2066,11875,tt6081670,Possum,2018,"Drama,Horror,Mystery",,5.8,10594,0.0217631113809924,
2067,2132,tt1590193,The Commuter,2018,"Action,Mystery,Thriller",Jaume Collet-Serra,6.3,129327,0.2885777050947595,
2068,7246,tt5734576,The Possession of Hannah Grace,2018,"Horror,Mystery,Thriller",Diederik Van Rooijen,5.2,27957,0.0514904790832759,43016528
2069,5676,tt6288124,"Don't Worry, He Won't Get Far on Foot",2018,"Biography,Comedy,Drama",Gus Van Sant,6.8,32071,0.0772421648343351,
2070,4209,tt2837574,The Old Man & the Gun,2018,"Biography,Comedy,Crime",David Lowery,6.7,50869,0.1207149407280961,
