,Unnamed: 0,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,releaseDate,poster
1680,4178,4178,tt5563334,The Good Liar,2019,"Crime,Drama,Mystery",Bill Condon,6.7,51624,0.1225065973411553,2019-11-08,/6kmxXfg3aSWrzUlEPt2L0YD4jz9.jpg
1681,6431,6431,tt4504044,The Prodigy,2019,"Fantasy,Horror,Mystery",Nicholas McCarthy,5.9,29976,0.0626410046328127,2019-02-06,/yyejodyk3lWncVjVhhrEkPctY9o.jpg
1682,12908,12908,tt7869070,The Fanatic,2019,"Crime,Drama,Mystery",Fred Durst,4.1,12996,0.0188723760616003,2019-08-30,/nojx83s8JWyYpI9oeKdQXniWMu6.jpg
1683,6501,6501,tt6264938,Kesari,2019,"Action,Drama,History",Anurag Singh,7.4,23564,0.061760919953139,2019-03-21,/ctjT1pMNAGD9ou0kuhz806tf7kX.jpg
1684,4094,4094,tt7139936,A Rainy Day in New York,2019,"Comedy,Romance",Woody Allen,6.4,55613,0.1260634881923932,2019-07-26,/z4A6mFOLTMZAhCSPRyrtzG0SPbd.jpg
1685,34,34,tt4154796,Avengers: Endgame,2019,"Action,Adventure,Sci-Fi","Anthony Russo,Joe Russo",8.4,1351498,4.020941141758563,2019-04-24,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg
1686,13640,13640,tt3584496,Mermaid Down,2019,"Fantasy,Horror,Mystery",,4.3,11286,0.0171886403282483,2019-10-15,/oB281saxibom0KC3Ndz81aJJtaa.jpg
1687,13622,13622,tt9625664,Trauma Center,2019,"Action,Thriller",Matt Eskandari,4.0,12158,0.0172248382734603,2019-12-06,/8K73wvCTBA3XKgZTtOZWgENUnis.jpg
1688,3910,3910,tt4126476,After,2019,"Drama,Romance",Jenny Gage,5.3,71339,0.1339170609727964,2019-04-11,/u3B2YKUjWABcxXZ6Nm9h10hLUbh.jpg
1689,10853,10853,tt3517870,Mine 9,2019,"Drama,Thriller",Eddie Mensore,6.0,11995,0.0254908622006279,2019-04-12,/7hxM3HmO3vS8ZxPyFlXgI0tqXug.jpg
1690,3995,3995,tt7347846,The Lodge,2019,"Drama,Horror,Mystery","Severin Fiala,Veronika Franz",6.0,61245,0.1301532184641482,2020-01-16,/yake2myhbW7c6dKbmwYDy1i40bm.jpg
1691,10829,10829,tt7725626,Viswasam,2019,"Action,Drama",Siva,6.5,11113,0.0255845447496353,2019-01-10,/9XXABbZY62OWkkjUDPVysMTs7fc.jpg
1692,439,439,tt8772262,Midsommar,2019,"Drama,Horror,Mystery",Ari Aster,7.1,446169,1.121994591219438,2019-07-03,/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg
1693,9898,9898,tt1648186,Fisherman's Friends,2019,"Comedy,Drama,Music",Chris Foggin,7.0,12186,0.0302128876954003,2019-03-15,/4faFbkPf8aH5nrY4YcNvn40PXLL.jpg
